,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Information Technology (It) - University of Moratuwa,0.7880263664609783,0.796530164167152,0.8039415421819973,0.8136157301961114,0.7149859646740654,0.47326968209764675,0.7562728639390138,0.7913142283214102,0.7218072990469324,0.7571139556054738,0.9302792974005413,0.3523380437511834,0.4434293193127622,0.6634439185804152,0.08948153799162917,0.6628654741981812,0.8145098027530279,0.8162252945746421,0.810135941905033,0.7981752120510571,0.9658792190649588,0.577197495988945,0.5320872508411274,0.7387699646068699,0.7904473596076904
Information Technology & Management - University of Moratuwa,0.6834125639338304,0.6964281040269975,0.6848352799747255,0.6393148932678698,0.6794944590389611,0.5726964232581269,0.7111060019694553,0.672026966862421,0.732889136154605,0.6769828113948085,0.023373458019117832,0.5151982755513251,0.016982629311691255,0.3273575347561273,0.5065152041896357,0.550514407297462,0.616221127405314,0.6103984953774741,0.6695960897590018,0.7021073985705795,0.6979429850693513,0.6541608722176809,0.6334715153895363,0.6691818568938535,0.6387778770637149
Facilities Management - University of Moratuwa,0.29336524034174305,0.49884324189207985,0.12157233099258691,0.06326076349893817,0.098174556750108,0.026020306009760907,0.7569983476522102,0.16751942929381836,0.4715879044562682,0.8428266961238772,0.13572375683868265,0.021592210822280133,0.9251710611672229,0.7683798848295178,0.5263750278261485,0.7250920096617414,0.6496848512805983,0.07576025824624644,0.717118218929579,0.5043355700878425,0.2626258077589879,0.06567254321057481,0.45109699141586057,0.6923226253755488,0.1978306212093539
Transport & Logistics Management - University of Moratuwa,0.8720052320239955,0.8324244659809488,0.8955018964464772,0.38526551639152284,0.820726644241073,0.6298019750335773,0.87810179091153,0.8778669685218377,0.8526735049283461,0.9241639611922211,0.07050622474932788,0.9912093661852365,0.4670126631494588,0.9074885557319321,0.07936066304212952,0.6038472535692458,0.9376751442682768,0.7847680817993302,0.9045556495545246,0.5051296805819872,0.5876794175695106,0.790830091898396,0.7476876789758319,0.8282043951536033,0.8336112807633247
Business Science - University of Moratuwa,0.9433582620032023,0.8116852962053651,0.48595188271550505,0.2925166372402551,0.9503548257241525,0.19050300780749996,0.7609457673218462,0.8642736772853123,0.436932481409793,0.46899439186712,0.9533505631927807,0.469798403739495,0.9056347397750192,0.5623156859405822,0.8025461663673727,0.12827053313540004,0.5146284411371671,0.6733942817280761,0.35823198783891397,0.9323877199994575,0.7179947092011698,1.682408025249771e-05,0.985500292709255,0.8636079053131909,0.7788465704927321
Management And Information Technology (Mit) # - University of Kelaniya,0.9819110575435762,0.5676611039900257,0.8021410083210969,0.40272716664489017,0.9476978152967249,0.255548051931795,0.8515048162107751,0.6526426705121383,0.5044052946224804,0.608028135041977,0.08994029327605069,0.11549899628302285,0.07960048690239874,0.04902322619637489,0.06351980299293725,0.5040407028498723,0.04441558831009751,0.8206928968938133,0.5623845509507392,0.5081324603583293,0.8249405141768389,0.9708526971677138,0.025175845385642326,0.3651122326571652,0.8791404517511756
Industrial Statistics & Mathematical Finance - University of Colombo,0.9924320617067253,0.9148657367287855,0.9839171774780275,0.21929464184184677,0.9107672901192105,0.7261500265896752,0.8933134812982225,0.885495614920167,0.6904981108059423,0.9688577495007483,0.00019572889409602556,0.18647000150058723,2.0552070036261583e-05,0.015983285968079963,0.7179662186634097,0.8835519936400638,0.7738147382270939,0.8342729244292545,0.9691236719515159,0.9324512319333411,0.9924339882472709,0.9457408630071165,0.32479844882130315,0.815320123732076,0.9817361448560132
Financial Mathematics And Industrial Statistics - University of Ruhuna,0.9213790698190553,0.5766939620755401,0.9359459412835787,0.5355778893434884,0.6660868065203677,0.5984668326589306,0.7380425269305493,0.16011540044769734,0.40661121466683137,0.27921563770638247,0.00013245717758314512,0.36360381563746014,0.016827683144608585,0.23623598966057158,0.053420832158978415,0.9938357944406593,0.5332240842237435,0.6393046287417075,0.44823831329008657,0.05105527360315154,0.3002945581965618,0.8585125245955297,0.039699425991235104,0.726860991435221,0.6430489393240838
Statistics & Operations Research - University of Peradeniya,0.9718618738675552,0.8377780591139523,0.9269662555382904,0.531335752854737,0.9058393411656158,0.32308192473461883,0.8739150077456552,0.9667863455968324,0.7915016608940442,0.8933447223274879,0.010605927935346982,0.8995580752328385,0.41828556605826617,0.21074159178011842,0.2662493899192646,0.5115121511970592,0.7170884323744067,0.8798243834584287,0.8760649654422941,0.196755188193109,0.4860930730605898,0.912361532129431,0.6626714091143947,0.9914955058431516,0.8541746318868535
Computation & Management - University of Peradeniya,0.7287044610035824,0.7616392543662445,0.7423232579093579,0.6483992266708546,0.6744071824096687,0.5641799164950938,0.8113068855098664,0.7271438495193668,0.7917992696384455,0.7427622809786384,0.4523634250072722,0.5448644163045668,0.02404145460181728,0.27956146651696145,0.46354246432879487,0.5100438157480645,0.624807495904661,0.613133740598036,0.7030109083720272,0.8420742436372883,0.9288950749789022,0.7452681479690164,0.7526200216326576,0.7200405378852432,0.6905255197828848
