,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Medicine - Wayamba University of Sri Lanka,1.7927369668246445,1.7816,1.7302557291666667,1.7786250000000001,1.8847,1.7071250000000002,1.639826244603448,1.6728247348484848,1.3266004151204367,1.2998028631997154,1.0624880646360715,1.2629793677529206,0.9765769026997104,1.3044053259858441,1.5774842281879193,1.4028223281507162,1.6457506868131868,1.730175,1.88585,1.6811,1.703875,1.72515,1.64135,1.7534155585106381,1.4143273664689757
Dental Surgery - University of Peradeniya,1.902425,1.752,1.861025,1.73355,1.852525,1.270015633484163,1.9019000000000001,1.9042750000000002,1.816325,1.86005,1.4557282110091743,1.745625,1.2141008201754386,1.6169516,1.6636250000000001,1.780875,1.740075,1.6787,1.85575,1.539075,1.5929,1.67635,1.5719500000000002,1.8604000000000003,1.80625
Veterinary Science - University of Peradeniya,1.7802,1.71905,1.797075,1.6774499999999999,1.81425,1.369325,1.8218999999999999,1.79865,1.760625,1.78485,1.50065,1.6475,1.3972250000000002,1.703025,1.5957500000000002,1.71345,1.681925,1.617175,1.814925,1.48805,1.491875,1.6363750000000001,1.49865,1.805175,1.775625
Molecular Biology & Biochemistry - University of Colombo,1.4506705568678697,1.417083581785598,1.4657912173112502,1.3581754211835169,1.4292485861042603,1.2043502013853975,1.4789941176555004,1.4966055786364958,1.4183450990284827,1.439041098493833,1.084722174805563,1.261728892283273,0.9120463201754385,1.2480053259858441,1.3337098844746074,1.3437175108622164,1.324675481723153,1.350228162926584,1.474376783521252,1.2996395058922559,1.2664478361465936,1.3654438178458626,1.2541478204159806,1.476139244408074,1.4234748866157778
Agricultural Technology & Management - University of Peradeniya,1.3278249999999998,1.3804,1.3814250000000001,1.3741750000000001,1.5112999999999999,1.265325,1.48095,1.523375,1.44305,1.4374999999999998,1.108075,1.3403,0.9771500000000001,1.16425,1.1667750000000001,1.373875,1.313325,1.326975,1.47835,1.354225,1.23395,1.44675,1.27165,1.463,1.41545
Agriculture - University of Jaffna,0.67915,0.638,0.7947,0.807725,0.9248000000000001,0.6125750000000001,0.8475999999999999,1.0358229166666666,1.082880316091954,0.791975,0.6677,0.713375,0.5481750000000001,0.560025,0.5631999999999999,0.6629,0.73275,0.6011000000000001,0.8185,0.5651,0.5740999999999999,0.6732750000000001,0.6801,0.84105,0.667125
"Agriculture - Eastern University, Sri Lanka",0.6803250000000001,0.5948,0.9361557291666667,0.8919136363636364,0.846575,0.608725,0.871125,0.8867229166666666,0.945998087431694,0.9505735937500001,0.6548158898305085,0.761469908293461,0.50705,0.6610372180451127,0.61665,0.6605,0.74125,0.570625,0.8797999999999999,0.579075,0.435225,0.7963922979797979,0.7161657534246575,0.9581737903225807,0.632825
Agriculture - Rajarata University of Sri Lanka,0.7361,0.732175,0.764675,0.773475,0.7953999999999999,0.76675,0.756425,0.7658750000000001,0.774,0.9333617647058824,0.9539191008396828,1.0856920683900015,0.9765769026997104,1.008032078914678,1.2052941126625267,0.9846495508982036,0.75635,0.7678750000000001,0.8005500000000001,0.7406000000000001,0.954364252454065,0.749025,0.8152657534246576,0.8117000000000001,0.7465499999999999
Agriculture - Sabaragamuwa University of Sri Lanka,0.85765,0.870525,0.856125,1.011426838748256,0.8734500000000001,1.0289125115848008,0.8631500000000001,0.8656250000000001,0.8583750000000001,1.0961353584558824,1.0624880646360715,0.9870043677529204,0.9765769026997104,1.063782078914678,1.2052941126625267,1.1361291875089228,1.1275304981452783,1.0286146408839778,0.8674,0.9375268361581922,1.1082839191207317,0.880925,0.9352907534246575,0.860525,0.858725
Agriculture - Wayamba University of Sri Lanka,0.7697,0.769325,0.7749250000000001,0.8626449421965318,0.789975,0.854325,0.771625,0.8840479166666666,1.0125904855834795,0.864325,1.0624880646360715,1.0203793677529205,0.8795488325242719,1.139542544030957,1.0688608848144256,0.9527564102564103,0.790125,0.8012999999999999,0.79825,0.8508268361581921,1.060399721204065,0.8054749999999999,0.8484907534246575,0.812225,0.8474866421568628
